GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
IT_011004;11004;Bolano;Bolano;ITA;Italy;2008;44.19;9.9;2780.323004;0;7305.292816;14.625;7680.886592;497.7880255;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;40509.54557;15324
IT_011006;11006;Borghetto di Vara;Borghetto di Vara;ITA;Italy;2008;44.22;9.72;2780.323004;0;2889.537371;14.15862067;903.8243967;33.3074465;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;1963
IT_011007;11007;Brugnato;Brugnato;ITA;Italy;2008;44.24;9.73;2780.323004;0;2128.84549;14.24666665;1383.254879;112.1750545;0.035625309;0.231010452;1.917314747;0.067701704;0.558492666;39264.60547;2974
IT_011008;11008;Calice al Cornoviglio;Calice al Cornoviglio;ITA;Italy;2008;44.21;9.84;2780.323004;0;3760.831764;14.32249997;1533.97515;45.21839445;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;40665.16309;2406
IT_011009;11009;Carro;Carro;ITA;Italy;2008;44.27;9.61;2780.323004;0;2054.708298;14.55641023;605.2602987;18.53369675;0.035625309;0.231010452;1.917314747;0.067701704;0.558492666;39264.60547;1193
IT_011010;11010;Carrodano;Carrodano;ITA;Italy;2008;44.24;9.66;2780.323004;0;1751.928768;14.2037037;509.1693757;24.2918715;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;1031
IT_011011;11011;Castelnuovo Magra;Castelnuovo Magra;ITA;Italy;2008;44.1;10.02;2769.022314;0;8806.558701;14.84736849;9111.879216;566.9953082;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;40198.31055;17181
IT_011012;11012;Deiva Marina;Deiva Marina;ITA;Italy;2008;44.22;9.52;2780.323004;0;1719.247997;14.50714275;1256.78672;92.64001256;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;3272
IT_011013;11013;Follo;Follo;ITA;Italy;2008;44.16;9.86;2780.323004;0;10145.64066;14.5307692;5232.695415;229.1159153;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39731.45801;13463
IT_011014;11014;Framura;Framura;ITA;Italy;2008;44.21;9.55;2780.323004;0;2176.028713;14.42000008;744.9878615;44.65977091;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;1886
IT_011015;11015;La Spezia;La Spezia;ITA;Italy;2007;44.11;9.83;2887.120514;0;1317382.714;17.08245612;91187.12703;1830.305378;0.033064014;0.36537364;1.552212789;0.055720588;0.614873992;39476.46094;261714
IT_011015;11015;La Spezia;La Spezia;ITA;Italy;2013;44.11;9.83;2888.46759;0;999728.487;13.31578959;91918.70062;1844.998422;0.03926114;0.348166005;1.324583101;0.065121898;0.592671831;36144.82422;243638
IT_011016;11016;Lerici;Lerici;ITA;Italy;2008;44.08;9.91;2780.323004;0;7481.512177;15.16315781;9914.108938;645.6959517;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;27355
IT_011017;11017;Levanto;Levanto;ITA;Italy;2008;44.17;9.61;2780.323004;0;5469.654465;14.1700001;5361.537949;145.3323279;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;13602
IT_011019;11019;Monterosso al Mare;Monterosso al Mare;ITA;Italy;2008;44.15;9.66;2780.323004;0;1145.054153;14.0923076;1493.946137;211.9984218;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;5282
IT_011020;11020;Luni;Ortonovo;ITA;Italy;2008;44.08;10.04;2757.721625;0;10486.75404;15.13846155;6935.706787;560.9131425;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;41132.01563;15336
