GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
BE_13046;13046;Vosselaar;Vosselaar;BEL;Belgium;2020;51.31;4.89;5374.237618;NA;14832.56876;17.10657257;7831.223831;766.1729158;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13049;13049;Westerlo;Westerlo;BEL;Belgium;2020;51.09;4.91;5374.237618;NA;54583.05656;27.084166;27657.07785;511.8696481;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;54446.30107;NA
BE_13053;13053;Laakdal;Laakdal;BEL;Belgium;2020;51.08;5.02;5382.081134;NA;34543.38073;29.93191716;15600.95528;374.7744838;0.16581861;0.446828711;3.911024481;0.594085096;1.53988398;53906.3476;NA
BE_21004;21004;Bruxelles / Brussel;Brussels Capital Region;BEL;Belgium;2020;50.85;4.35;NA;NA;NA;NA;233338.9429;6819.54653;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;58039.17509;NA
BE_21004;21004;Bruxelles / Brussel;Brussels;BEL;Belgium;2020;50.85;4.35;5341.449117;NA;216458.895;9.547451754;233338.9429;6819.54653;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;58039.17509;NA
BE_21012;21012;Molenbeek-Saint-Jean / Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;BEL;Belgium;2020;50.86;4.34;5318.294664;NA;48820.21243;14.76311215;106236.1143;16296.24064;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;58039.17509;NA
BE_23002;23002;Asse;Asse;BEL;Belgium;2020;50.91;4.2;5318.294664;NA;127272.6038;28.86582436;33569.83167;687.3425463;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;55869.83718;NA
BE_23003;23003;Beersel;Beersel;BEL;Belgium;2020;50.75;4.33;5318.294664;NA;247109.1926;28.48472655;29442.07312;948.6760811;0.150425093;0.491427371;3.738543456;0.468649185;1.469795568;59448.24886;NA
BE_23009;23009;Bever / Bi̩v̬ne;Bever;BEL;Belgium;2020;50.7167511;3.940599918;5318.294664;NA;5878.220781;39.07697368;1669.814236;85.11954329;0.150425093;0.491427371;3.738543456;0.468649185;1.469795568;43434.74754;NA
BE_23016;23016;Dilbeek;Dilbeek;BEL;Belgium;2020;50.85;4.26;5318.294664;NA;131231.2648;24.82332385;48234.18738;1138.150606;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_23024;23024;Gooik;Gooik;BEL;Belgium;2020;50.8;4.11;5318.294664;NA;19337.98847;32.01046316;10011.51409;248.6543686;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;52291.42549;NA
BE_23025;23025;Grimbergen;Grimbergen;BEL;Belgium;2020;50.93;4.37;5341.449117;NA;144161.6996;23.84150884;40491.87006;1022.909927;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_23027;23027;Halle / Hal;Halle;BEL;Belgium;2020;50.73;4.23;5318.294664;NA;51916.87704;36.79549399;33644.20901;762.4691946;0.150425093;0.491427371;3.738543456;0.468649185;1.469795568;59448.24886;NA
BE_23032;23032;Herne;Herne;BEL;Belgium;2020;50.72;4.03;5318.294664;NA;186174.0287;33.36003029;7527.183563;162.5565694;0.150425093;0.491427371;3.738543456;0.468649185;1.469795568;55154.15484;NA
BE_23033;23033;Hoeilaart;Hoeilaart;BEL;Belgium;2020;50.77;4.47;5364.603571;NA;21338.66761;27.91956373;10942.52243;543.302256;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23038;23038;Kampenhout;Kampenhout;BEL;Belgium;2020;50.94;4.55;5364.603571;NA;41627.82895;22.401205;12908.96841;383.9675765;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;59448.24886;NA
BE_23044;23044;Liedekerke;Liedekerke;BEL;Belgium;2020;50.87;4.08;5318.294664;NA;9673.181017;24.40464021;14758.68686;1430.207915;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;48713.01381;NA
BE_23045;23045;Londerzeel;Londerzeel;BEL;Belgium;2020;51;4.3;5324.946319;NA;42196.67795;30.04154116;17167.57542;480.4097526;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;52822.64481;NA
BE_23047;23047;Machelen;Machelen;BEL;Belgium;2020;50.91;4.43;5364.603571;NA;49807.79108;4.35647925;19813.47009;1825.452509;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23050;23050;Meise;Meise;BEL;Belgium;2020;50.95;4.31;5324.946319;NA;74669.39331;25.69939652;22370.62994;644.8593307;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;53926.91215;NA
BE_23052;23052;Merchtem;Merchtem;BEL;Belgium;2020;50.96;4.23;5318.294664;NA;64093.37576;30.03588015;18490.63542;494.2812633;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_23060;23060;Opwijk;Opwijk;BEL;Belgium;2020;50.97;4.19;5318.294664;NA;24404.07287;31.68170802;16034.40393;799.5466201;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;48713.01381;NA
BE_23062;23062;Overijse;Overijse;BEL;Belgium;2020;50.77;4.54;5364.603571;NA;47000.12267;25.80207947;23234.03293;522.4300232;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23064;23064;Pepingen;Pepingen;BEL;Belgium;2020;50.76;4.16;5318.294664;NA;22249.55645;35.14786585;5703.856064;163.6715103;0.150425093;0.491427371;3.738543456;0.468649185;1.469795568;59448.24886;NA
BE_23077;23077;Sint-Pieters-Leeuw;Sint-Pieters-Leeuw;BEL;Belgium;2020;50.78;4.24;5318.294664;NA;73898.39707;30.17563594;36853.67404;915.3939003;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_23081;23081;Steenokkerzeel;Steenokkerzeel;BEL;Belgium;2020;50.92;4.51;5364.603571;NA;57419.06204;18.16335258;14024.94604;574.505561;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23086;23086;Ternat;Ternat;BEL;Belgium;2020;50.87;4.18;5318.294664;NA;29827.21619;27.83120154;16979.84341;727.0750491;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_23088;23088;Vilvoorde / Vilvorde;Vilvoorde;BEL;Belgium;2020;50.93;4.42;5341.449117;NA;223323.8227;14.14601978;39690.40625;1876.294999;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23094;23094;Zaventem;Zaventem;BEL;Belgium;2020;50.89;4.47;5364.603571;NA;72410.7289;2.843145145;36317.21954;1286.012659;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23096;23096;Zemst;Zemst;BEL;Belgium;2020;50.98;4.47;5347.183453;NA;66411.1434;29.9343058;22729.05017;528.6961417;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;53926.91215;NA
BE_23099;23099;Kraainem;Kraainem;BEL;Belgium;2020;50.86;4.47;5364.603571;NA;14632.37085;6.826727166;6930.944489;1062.955455;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;59448.24886;NA
BE_23103;23103;Wezembeek-Oppem;Wezembeek-Oppem;BEL;Belgium;2020;50.84;4.49;5364.603571;NA;10180.6739;4.366693539;12428.96222;1906.061768;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;59448.24886;NA
BE_23104;23104;Lennik;Lennik;BEL;Belgium;2020;50.81;4.15;5318.294664;NA;23139.49839;33.16956912;11792.48064;380.4967413;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;59448.24886;NA
BE_24001;24001;Aarschot;Aarschot;BEL;Belgium;2020;50.99;4.84;5369.420591;NA;46643.902;33.12212597;25864.60121;411.6102671;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;57272.67551;NA
BE_24007;24007;Begijnendijk;Begijnendijk;BEL;Belgium;2020;51.02;4.78;5369.420591;NA;18270.78191;31.50441;7584.689316;424.4630719;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;55382.55113;NA
BE_24008;24008;Bekkevoort;Bekkevoort;BEL;Belgium;2020;50.94;4.98;5368.505832;NA;18833.46337;35.00577225;6423.18187;174.175255;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;61052.92425;NA
BE_24009;24009;Bertem;Bertem;BEL;Belgium;2020;50.87;4.63;5364.603571;NA;24913.55319;29.08912533;10610.00813;355.0924128;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;61052.92425;NA
BE_24011;24011;Bierbeek;Bierbeek;BEL;Belgium;2020;50.83;4.76;5364.603571;NA;19393.31963;29.29040249;10003.2793;248.7073344;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;61052.92425;NA
BE_24014;24014;Boortmeerbeek;Boortmeerbeek;BEL;Belgium;2020;50.98;4.57;5369.420591;NA;25895.17542;16.1588268;10339.87939;545.2656799;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;57272.67551;NA
